ID,机型名称,releaseDate,processor,ram,chipPerformance,gpuPerformance,display,screenBrightness,camera,faceTimeCamera,battery,batteryLife,charging,wireless,storage,price,dimensions,weight,os,connectivity,蓝牙,cellularFeatures,satelliteFeatures,colors,materials,waterResistance,security,sensors,ports,audioFeatures,扬声器数量,麦克风数量,WiFi标准,modelIdentifier,baseband,techSpecs,marketingSlogan
iphone-16e,iPhone 16e,2025年2月,A18 (2P+4E+4GPU),8GB LPDDR5X,单核跑分：3281，多核跑分：8035,24188,6.1英寸 Super Retina XDR OLED，2532×1170分辨率，460ppi，60Hz,标准亮度：800尼特，HDR峰值亮度：1200尼特,4800万像素主摄 (f/1.6光圈),1200万像素，f/1.9光圈,4005 mAh (15.56Wh)，最长视频播放时间26小时,视频播放：最长26小时，流媒体：最长21小时，音频播放：最长90小时,USB-C有线充电，Qi无线充电,Qi无线充电,128GB / 256GB / 512GB,6499元起,71.5×146.7×7.8mm,167 g,iOS 18及更高版本,Wi-Fi 6 (802.11ax)，蓝牙5.3，NFC,,双卡双待，支持5G,紧急求救卫星通信，卫星定位导航,黑色、白色,铝合金中框，强化玻璃前后面板,IP68，水下6米深处可达30分钟,Face ID,面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器,USB-C (USB 2.0，最高480Mbps),立体声扬声器，4个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone17,5",Apple C1,https://support.apple.com/zh-cn/122208,经济实惠，性能强劲。
iphone-16-pro-max,iPhone 16 Pro Max,2024年9月10日,A18 Pro (2P+4E+6GPU),8GB,单核跑分：3437，多核跑分：8504,32746,6.9英寸 Super Retina XDR，2868×1320 分辨率，460ppi，1-120Hz ProMotion,峰值亮度：2000尼特，HDR峰值亮度：2200尼特,4800万像素主摄 (f/1.78光圈) + 4800万像素超广角 (f/2.2光圈) + 1200万像素长焦 (f/2.8光圈，5倍光学变焦),1200万像素，f/1.9光圈，支持4K@60fps HDR录制,18.169Wh (4685mAh)，最长视频播放时间33小时,视频播放：最长33小时，音频播放：最长100小时,最高45W有线快充，15W MagSafe无线充电，15W Qi2无线充电,MagSafe无线充电，Qi2无线充电,256GB / 512GB / 1TB,10999元起,163.0 x 77.6 x 8.25 mm,227 g,iOS 18,"5G, Wi-Fi 7, 蓝牙 5.4, 超宽带",,5G，支持双卡双待,紧急求救卫星通信，卫星定位导航,自然钛金属、沙漠钛金属、白色钛金属、黑色钛金属,钛合金中框，Ceramic Shield 2前面板，强化玻璃背板,IP68，水下6米深处可达30分钟,Face ID,激光雷达扫描仪，三轴陀螺仪，高动态范围加速度传感器，接近传感器，环境光传感器，气压计,USB-C (USB 3.2，最高40Gbps),空间音频，杜比全景声，立体声扬声器,2,4,802.11be HT160 2x2 MIMO,"iPhone17,2",骁龙X71,https://support.apple.com/zh-cn/121032,Hello，Apple Intelligence
iphone-16-pro,iPhone 16 Pro,2024年9月10日,A18 Pro (2P+4E+6GPU),8GB,单核跑分：3452，多核跑分：8570,32746,6.3英寸 Super Retina XDR，2622×1206 分辨率，460ppi，1-120Hz ProMotion,峰值亮度：2000尼特，HDR峰值亮度：2200尼特,4800万像素主摄 (f/1.78光圈) + 4800万像素超广角 (f/2.2光圈) + 1200万像素长焦 (f/2.8光圈，3.5倍光学变焦),1200万像素，f/1.9光圈，支持4K@60fps HDR录制,13.942Wh (3582mAh)，最长视频播放时间27小时,视频播放：最长27小时，音频播放：最长85小时,最高45W有线快充，15W MagSafe无线充电，15W Qi2无线充电,MagSafe无线充电，Qi2无线充电,128GB / 256GB / 512GB / 1TB,9999元起,149.6 x 71.5 x 8.25 mm,199 g,iOS 18,"5G, Wi-Fi 7, 蓝牙 5.4, 超宽带",,5G，支持双卡双待,紧急求救卫星通信，卫星定位导航,自然钛金属、沙漠钛金属、白色钛金属、黑色钛金属,钛合金中框，Ceramic Shield 2前面板，强化玻璃背板,IP68，水下6米深处可达30分钟,Face ID,激光雷达扫描仪，三轴陀螺仪，高动态范围加速度传感器，接近传感器，环境光传感器，气压计,USB-C (USB 3.2，最高40Gbps),空间音频，杜比全景声，立体声扬声器,2,4,802.11be HT160 2x2 MIMO,"iPhone17,1",骁龙X71,https://support.apple.com/zh-cn/121031,Hello，Apple Intelligence
iphone-16,iPhone 16,2024年9月,A18 (2P+4E+5GPU),8GB LPDDR5,单核跑分：3324，多核跑分：8189,32746,6.1英寸 Super Retina XDR OLED，2532×1170分辨率，460ppi，60Hz,标准亮度：1000尼特，HDR峰值亮度：1600尼特,4800万像素主摄 (f/1.6光圈) + 超广角：1200万像素 (f/2.4光圈),1200万像素，f/1.9光圈,3561 mAh (13.77Wh)，最长视频播放时间24小时,视频播放：最长24小时，流媒体：最长20小时，音频播放：最长80小时,最高25W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi2无线充电,128GB / 256GB / 512GB,6999元起,71.6×147.6×7.8mm,170 g,iOS 18及更高版本,Wi-Fi 6E (802.11ax)，蓝牙5.3，NFC,,双卡双待，支持5G,紧急求救卫星通信，卫星定位导航,黑色、白色、粉色、蓝色、绿色,铝合金中框，Ceramic Shield前玻璃，玻璃背板,IP68，水下6米深处可达30分钟,Face ID,面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,USB-C (USB 3.0，最高10Gbps),立体声扬声器，4个麦克风,2,4,802.11be HT160 2x2 MIMO,"iPhone17,1",Qualcomm X70,https://support.apple.com/zh-cn/122195,功能全面。表现出色。
iphone-16-plus,iPhone 16 Plus,2024年9月,A18 (2P+4E+5GPU),8GB LPDDR5,单核跑分：3321，多核跑分：8180,27717,6.7英寸 Super Retina XDR OLED，2796×1290分辨率，460ppi，60Hz,标准亮度：1000尼特，HDR峰值亮度：1600尼特,4800万像素主摄 (f/1.6光圈) + 超广角：1200万像素 (f/2.4光圈),1200万像素，f/1.9光圈,4006 mAh (15.49Wh)，最长视频播放时间29小时,视频播放：最长29小时，流媒体：最长24小时，音频播放：最长100小时,最高25W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi2无线充电,128GB / 256GB / 512GB,7999元起,77.8×160.9×7.8mm,199 g,iOS 18及更高版本,Wi-Fi 6E (802.11ax)，蓝牙5.3，NFC,,双卡双待，支持5G,紧急求救卫星通信，卫星定位导航,黑色、白色、粉色、蓝色、绿色,铝合金中框，Ceramic Shield前玻璃，玻璃背板,IP68，水下6米深处可达30分钟,Face ID,面容ID传感器，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,USB-C (USB 3.0，最高10Gbps),立体声扬声器，4个麦克风,2,4,802.11be HT160 2x2 MIMO,"iPhone17,0",Qualcomm X70,https://support.apple.com/zh-cn/122195,大尺寸。大能力。
iphone-15-pro-max,iPhone 15 Pro Max,2023年9月,A17 Pro,8GB,单核跑分：2883，多核跑分：7145,27295,6.7英寸 Super Retina XDR，2796×1290 分辨率，1-120Hz ProMotion,峰值亮度：1600尼特，HDR峰值亮度：2000尼特,4800万像素主摄 (f/1.78光圈) + 1200万像素超广角 (f/2.2光圈) + 1200万像素长焦 (f/2.8光圈，5倍光学变焦),1200万像素，f/1.9光圈，支持4K@60fps HDR录制,4441 mAh，17.4 Wh，最长视频播放时间29小时,视频播放：最长29小时，音频播放：最长95小时,最高27W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,256GB / 512GB / 1TB,9999元起,159.9 x 76.7 x 8.25 mm,221 g,iOS 17，可升级至iOS 18,"5G, Wi-Fi 6E, 蓝牙 5.3, 超宽带",,5G，支持双卡双待,紧急求救卫星通信，卫星定位导航,自然钛金属、蓝色钛金属、白色钛金属、黑色钛金属,钛合金中框，Ceramic Shield前面板，哑光玻璃背板,IP68，水下6米深处可达30分钟,Face ID,激光雷达扫描仪，三轴陀螺仪，高动态范围加速度传感器，接近传感器，环境光传感器，气压计,USB-C (USB 3.2，最高10Gbps),空间音频，杜比全景声，立体声扬声器,2,4,802.11ax HT160 2x2 MIMO,"iPhone16,2",骁龙X70,https://support.apple.com/kb/SP905,钛金属，坚固轻盈
iphone-15-pro,iPhone 15 Pro,2023年9月,A17 Pro,8GB,单核跑分：2893，多核跑分：7181,27295,6.1英寸 Super Retina XDR，2556×1179 分辨率，1-120Hz ProMotion,峰值亮度：1600尼特，HDR峰值亮度：2000尼特,4800万像素主摄 (f/1.78光圈) + 1200万像素超广角 (f/2.2光圈) + 1200万像素长焦 (f/2.8光圈，3倍光学变焦),1200万像素，f/1.9光圈，支持4K@60fps HDR录制,3274 mAh，12.70 Wh，最长视频播放时间23小时,视频播放：最长23小时，音频播放：最长75小时,最高27W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,128GB / 256GB / 512GB / 1TB,7999元起,146.6 x 70.6 x 8.25 mm,187 g,iOS 17，可升级至iOS 18,"5G, Wi-Fi 6E, 蓝牙 5.3, 超宽带",,5G，支持双卡双待,紧急求救卫星通信，卫星定位导航,自然钛金属、蓝色钛金属、白色钛金属、黑色钛金属,钛合金中框，Ceramic Shield前面板，哑光玻璃背板,IP68，水下6米深处可达30分钟,Face ID,激光雷达扫描仪，三轴陀螺仪，高动态范围加速度传感器，接近传感器，环境光传感器，气压计,USB-C (USB 3.2，最高10Gbps),空间音频，杜比全景声，立体声扬声器,2,4,802.11ax HT160 2x2 MIMO,"iPhone16,1",骁龙X70,https://support.apple.com/kb/SP904,钛金属，坚固轻盈
iphone-15-plus,iPhone 15 Plus,2023年9月,A16 仿生,6GB,单核跑分：2547，多核跑分：6346,22857,6.7英寸 Super Retina XDR，2796×1290 分辨率，60Hz,峰值亮度：1600尼特，HDR峰值亮度：1600尼特,4800万像素主摄 (f/1.6光圈) + 1200万像素超广角 (f/2.4光圈),1200万像素，f/1.9光圈，支持4K@60fps HDR录制,4383 mAh，17.10 Wh，最长视频播放时间26小时,视频播放：最长26小时，音频播放：最长85小时,最高20W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,128GB / 256GB / 512GB,6999元起,160.9 x 77.8 x 7.8 mm,201 g,iOS 17，可升级至iOS 18,"5G, Wi-Fi 6, 蓝牙 5.3, 超宽带",,5G，支持双卡双待,紧急求救卫星通信，卫星定位导航,粉色、黄色、绿色、蓝色、黑色,铝合金中框，Ceramic Shield前面板，哑光玻璃背板,IP68，水下6米深处可达30分钟,Face ID,三轴陀螺仪，高动态范围加速度传感器，接近传感器，环境光传感器，气压计,USB-C (USB 2.0，最高480Mbps),空间音频，立体声扬声器,2,4,802.11ax HT80 2x2 MIMO,"iPhone15,5",骁龙X70,https://support.apple.com/kb/SP903,新主摄，新设计，开新超开心
iphone-15,iPhone 15,2023年9月,A16 仿生,6GB,单核跑分：2543，多核跑分：6324,27295,6.1英寸 Super Retina XDR，2556×1179 分辨率，60Hz,峰值亮度：1600尼特，HDR峰值亮度：1600尼特,4800万像素主摄 (f/1.6光圈) + 1200万像素超广角 (f/2.4光圈),1200万像素，f/1.9光圈，支持4K@60fps HDR录制,3349 mAh，12.98 Wh，最长视频播放时间20小时,视频播放：最长20小时，音频播放：最长80小时,最高20W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,128GB / 256GB / 512GB,5999元起,147.6 x 71.6 x 7.8 mm,171 g,iOS 17，可升级至iOS 18,"5G, Wi-Fi 6, 蓝牙 5.3, 超宽带",,5G，支持双卡双待,紧急求救卫星通信，卫星定位导航,粉色、黄色、绿色、蓝色、黑色,铝合金中框，Ceramic Shield前面板，哑光玻璃背板,IP68，水下6米深处可达30分钟,Face ID,三轴陀螺仪，高动态范围加速度传感器，接近传感器，环境光传感器，气压计,USB-C (USB 2.0，最高480Mbps),空间音频，立体声扬声器,2,4,802.11ax HT80 2x2 MIMO,"iPhone15,4",骁龙X70,https://support.apple.com/kb/SP902,新主摄，新设计，开新超开心
iphone-14-pro-max,iPhone 14 Pro Max,2022年9月,A16 仿生 (2P+4E+5GPU),6GB LPDDR5,单核跑分：2598，多核跑分：6664,22746,6.7英寸 Super Retina XDR OLED，2796×1290分辨率，460ppi，1-120Hz ProMotion，灵动岛,标准亮度：1000尼特，HDR峰值亮度：1600尼特，户外峰值亮度：2000尼特,主摄：4800万像素 (f/1.78光圈) + 超广角：1200万像素 (f/2.2光圈) + 长焦：1200万像素 (f/2.8光圈，3倍光学变焦),1200万像素，f/1.9光圈,4323 mAh (16.68Wh)，最长视频播放时间29小时,视频播放：最长29小时，流媒体：最长25小时，音频播放：最长95小时,最高27W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,128GB / 256GB / 512GB / 1TB,8999元起,77.6×160.7×7.85mm,240 g,iOS 16，可升级至iOS 18及更高版本,Wi-Fi 6，蓝牙5.3，超宽带,,双卡双待，支持5G,紧急求救卫星通信，卫星定位导航,深空黑色、银色、金色、暗紫色,不锈钢中框，Ceramic Shield前玻璃，纹理哑光玻璃背板,IP68，水下6米深处可达30分钟,Face ID,激光雷达扫描仪，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,支持杜比全景声的立体声扬声器，4个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone15,3",Qualcomm X65,https://support.apple.com/kb/SP875,强力出圈
iphone-14-pro,iPhone 14 Pro,2022年9月,A16 仿生 (2P+4E+5GPU),6GB LPDDR5,单核跑分：2604，多核跑分：6692,22746,6.1英寸 Super Retina XDR OLED，2556×1179分辨率，460ppi，1-120Hz ProMotion，灵动岛,标准亮度：1000尼特，HDR峰值亮度：1600尼特，户外峰值亮度：2000尼特,主摄：4800万像素 (f/1.78光圈) + 超广角：1200万像素 (f/2.2光圈) + 长焦：1200万像素 (f/2.8光圈，3倍光学变焦),1200万像素，f/1.9光圈,3200 mAh (12.38Wh)，最长视频播放时间23小时,视频播放：最长23小时，流媒体：最长20小时，音频播放：最长75小时,最高27W有线快充，15W MagSafe无线充电，7.5W Qi无线充电,MagSafe无线充电，Qi无线充电,128GB / 256GB / 512GB / 1TB,7999元起,71.5×147.5×7.85mm,206 g,iOS 16，可升级至iOS 18及更高版本,Wi-Fi 6，蓝牙5.3，超宽带,,双卡双待，支持5G,紧急求救卫星通信，卫星定位导航,深空黑色、银色、金色、暗紫色,不锈钢中框，Ceramic Shield前玻璃，纹理哑光玻璃背板,IP68，水下6米深处可达30分钟,Face ID,激光雷达扫描仪，三轴陀螺仪，加速度传感器，接近传感器，环境光传感器，气压计,Lightning接口,支持杜比全景声的立体声扬声器，4个麦克风,2,4,802.11ax HT80 2x2 MIMO,"iPhone15,2",Qualcomm X65,https://support.apple.com/zh-cn/111849,强力出圈
